DATE,T2M1,T2M,T2M_MIN,QV2M,PRECTOTCORR,PS,WS10M_MAX,WS10M_MIN,WS10M
31-05-2000,35.05,40.61,29.79,16.3,0.03,99.76,5.8,3.29,4.31
01-06-2000,35.35,41.69,29.05,16.05,0,99.57,5.22,1.95,4.07
02-06-2000,35.63,42.44,29.25,14.77,0,99.52,6.36,2.16,4.62
03-06-2000,35.49,42.73,28.06,15.14,0.01,99.46,6.08,1.16,3.62
04-06-2000,35.98,42.82,29.19,15.56,0,99.33,6.25,1.35,4.2
05-06-2000,36.01,42.98,29.65,15.32,0.07,99.18,6.08,1.6,3.73
06-06-2000,36.96,44.24,29.66,13.79,0.3,98.82,7.71,1.95,4.83
07-06-2000,35.38,40.06,30.93,16.66,11.22,98.79,6.38,1.13,3.41
08-06-2000,35.12,40.28,30.01,17.27,0.17,99.04,6.42,2.08,3.45
09-06-2000,34.56,40.4,29.89,16.48,0,99.44,6.73,4.1,5.14
10-06-2000,34.59,41.55,28.24,14.65,0,99.53,6.41,2.99,5.02
11-06-2000,34.94,41.69,28.94,14.77,0.01,99.56,8.12,4.13,5.76
12-06-2000,34.84,41.63,29.04,15.81,0.01,99.57,8.67,4.65,6.2
13-06-2000,34.35,41.05,29.25,15.32,0,99.57,9.81,5.25,7.2
14-06-2000,34.15,41.5,28.76,15.14,0,99.65,9.29,6.5,7.9
15-06-2000,34.1,41.7,28.48,14.89,0,99.64,9.73,5.45,7.87
16-06-2000,34.39,41.75,28.7,14.34,0,99.62,8.72,6.2,7.48
17-06-2000,34.08,41.3,28.25,13.61,0,99.63,8.4,5.91,6.78
18-06-2000,34.57,42.21,27.21,13.24,0,99.47,6.55,3.05,5.21
19-06-2000,34.85,42.9,27.48,13.55,0,99.42,7.04,2.45,4.91
20-06-2000,34.5,41.65,28.19,14.34,0,99.46,7.14,4.51,5.59
21-06-2000,35.19,41.94,28.83,13.73,0,99.55,7.5,4.73,5.65
22-06-2000,34.75,41.42,28.71,14.65,0,99.59,8.08,5.59,6.65
23-06-2000,35.13,41.57,28.98,14.4,0.07,99.62,8.32,4.83,6.1
24-06-2000,34.31,41.06,28.51,14.28,0.02,99.6,9.42,5.83,7.12
25-06-2000,34.08,41.15,27.83,14.1,0,99.59,8.94,6.12,7.3
26-06-2000,34.28,41.44,27.9,13.92,0.01,99.64,8.61,6.09,7.05
27-06-2000,34.54,41.17,27.95,13.85,0,99.61,7.99,3.9,5.52
28-06-2000,34.78,41.35,28.42,14.65,0.01,99.61,7.88,3.02,4.83
29-06-2000,31.85,35.22,28.57,18.43,30.97,99.53,7.02,0.66,3.24
